baserent,balcony,noparkspaces,haskitchen,cellar,livingspace,petsallowed,geo_krs,lift,norooms,floor,garden,energyefficiencyclass
845.0,True,1.0,False,True,56.0,negotiable,Krefeld,True,2.0,1.0,False,A_PLUS
1680.0,True,1.0,True,True,91.0,no,M?nchen,True,1.5,2.0,False,A
1337.22,True,1.0,True,True,116.28,yes,Dresden,True,3.0,1.0,False,C
1321.61,True,1.0,False,True,104.89,negotiable,Leipzig,True,4.0,4.0,False,B
899.0,True,1.0,True,True,79.64,negotiable,Braunschweig,True,2.0,0.0,True,A
720.0,True,1.0,False,False,82.0,negotiable,Hannover_Kreis,False,2.0,1.0,False,A_PLUS
1744.26,True,1.0,True,True,130.0,yes,Leipzig,True,3.0,8.0,True,A
890.0,True,1.0,False,True,64.4,negotiable,D?sseldorf,True,2.0,4.0,False,B
1495.0,True,2.0,True,False,115.06,negotiable,D?sseldorf,True,3.0,5.0,True,A
1040.0,True,1.0,False,False,90.0,no,Rosenheim_Kreis,False,3.0,1.0,False,A
1000.0,False,1.0,False,True,71.4,no,Main_Taunus_Kreis,False,3.0,0.0,False,A
1763.63,True,1.0,False,True,160.33,negotiable,Berlin,True,7.0,5.0,False,A
710.0,True,1.0,True,False,71.0,negotiable,Pinneberg_Kreis,False,3.0,2.0,False,A_PLUS
2430.0,True,1.0,True,True,142.0,negotiable,Main_Taunus_Kreis,True,3.0,4.0,False,B
990.0,False,1.0,False,True,86.0,no,Rosenheim_Kreis,False,3.0,2.0,False,D
1195.0,True,1.0,True,True,76.24,negotiable,D?sseldorf,True,2.0,7.0,False,B
1621.0,True,1.0,True,True,108.1,no,Hamburg,True,3.0,2.0,False,B
1230.0,True,1.0,True,False,114.95,negotiable,Leipzig,True,4.0,3.0,False,B
757.17,True,1.0,True,False,51.16,negotiable,Frankfurt_am_Main,True,1.5,0.0,True,B
1244.25,True,2.0,False,False,110.6,no,Dresden,False,3.0,1.0,False,B
957.0,True,1.0,False,False,70.89,no,D?sseldorf,True,2.0,2.0,False,A
1850.0,True,1.0,True,True,132.24,negotiable,Magdeburg,True,3.0,1.0,False,A_PLUS
700.0,True,1.0,True,True,53.0,negotiable,Hamburg,True,2.0,3.0,False,C
770.0,True,1.0,False,True,75.36,negotiable,Leipzig,True,3.0,1.0,False,B
